,prompt,completion
10,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Spanish | Farm | Minister | Loyola | de | Palacio | had | earlier | accused | Fischler | at | an | EU | farm | ministers | ' | meeting | of | causing | unjustified | alarm | through | "" | dangerous | generalisation | . | ""

###

", B-MISC | O | O | B-PER | I-PER | I-PER | O | O | O | B-PER | O | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
11,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

.

###

", O***END***
12,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Only | France | and | Britain | backed | Fischler | 's | proposal | .

###

", O | B-LOC | O | B-LOC | O | B-PER | O | O | O***END***
13,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | EU | 's | scientific | veterinary | and | multidisciplinary | committees | are | due | to | re-examine | the | issue | early | next | month | and | make | recommendations | to | the | senior | veterinary | officials | .

###

", O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
14,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Sheep | have | long | been | known | to | contract | scrapie | , | a | brain-wasting | disease | similar | to | BSE | which | is | believed | to | have | been | transferred | to | cattle | through | feed | containing | animal | waste | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
15,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

British | farmers | denied | on | Thursday | there | was | any | danger | to | human | health | from | their | sheep | , | but | expressed | concern | that | German | government | advice | to | consumers | to | avoid | British | lamb | might | influence | consumers | across | Europe | .

###

", B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O | O | O | B-MISC | O | O | O | O | O | B-LOC | O***END***
16,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

"" | What | we | have | to | be | extremely | careful | of | is | how | other | countries | are | going | to | take | Germany | 's | lead | , | "" | Welsh | National | Farmers | ' | Union | ( | NFU | ) | chairman | John | Lloyd | Jones | said | on | BBC | radio | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O | O | B-ORG | I-ORG | I-ORG | I-ORG | I-ORG | O | B-ORG | O | O | B-PER | I-PER | I-PER | O | O | B-ORG | I-ORG | O***END***
17,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bonn | has | led | efforts | to | protect | public | health | after | consumer | confidence | collapsed | in | March | after | a | British | report | suggested | humans | could | contract | an | illness | similar | to | mad | cow | disease | by | eating | contaminated | beef | .

###

", B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
18,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Germany | imported | 47,600 | sheep | from | Britain | last | year | , | nearly | half | of | total | imports | .

###

", B-LOC | O | O | O | O | B-LOC | O | O | O | O | O | O | O | O | O***END***
19,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

It | brought | in | 4,275 | tonnes | of | British | mutton | , | some | 10 | percent | of | overall | imports | .

###

", O | O | O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O***END***
20,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Rare | Hendrix | song | draft | sells | for | almost | $ | 17,000 | .

###

", O | B-PER | O | O | O | O | O | O | O | O***END***
21,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LONDON | 1996-08-22

###

", B-LOC | O***END***
22,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

A | rare | early | handwritten | draft | of | a | song | by | U.S. | guitar | legend | Jimi | Hendrix | was | sold | for | almost | $ | 17,000 | on | Thursday | at | an | auction | of | some | of | the | late | musician | 's | favourite | possessions | .

###

", O | O | O | O | O | O | O | O | O | B-LOC | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
23,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

A | Florida | restaurant | paid | 10,925 | pounds | ( | $ | 16,935 | ) | for | the | draft | of | "" | Ai | n't | no | telling | "" | , | which | Hendrix | penned | on | a | piece | of | London | hotel | stationery | in | late | 1966 | .

###

", O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | I-MISC | I-MISC | I-MISC | O | O | O | B-PER | O | O | O | O | O | B-LOC | O | O | O | O | O | O***END***
24,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

At | the | end | of | a | January | 1967 | concert | in | the | English | city | of | Nottingham | he | threw | the | sheet | of | paper | into | the | audience | , | where | it | was | retrieved | by | a | fan | .

###

", O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
25,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Buyers | also | snapped | up | 16 | other | items | that | were | put | up | for | auction | by | Hendrix | 's | former | girlfriend | Kathy | Etchingham | , | who | lived | with | him | from | 1966 | to | 1969 | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O***END***
26,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

They | included | a | black | lacquer | and | mother | of | pearl | inlaid | box | used | by | Hendrix | to | store | his | drugs | , | which | an | anonymous | Australian | purchaser | bought | for | 5,060 | pounds | ( | $ | 7,845 | ) | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O | O***END***
27,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | guitarist | died | of | a | drugs | overdose | in | 1970 | aged | 27 | .

###

", O | O | O | O | O | O | O | O | O | O | O | O***END***
28,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

China | says | Taiwan | spoils | atmosphere | for | talks | .

###

", B-LOC | O | B-LOC | O | O | O | O | O***END***
29,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BEIJING | 1996-08-22

###

", B-LOC | O***END***
30,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

China | on | Thursday | accused | Taipei | of | spoiling | the | atmosphere | for | a | resumption | of | talks | across | the | Taiwan | Strait | with | a | visit | to | Ukraine | by | Taiwanese | Vice | President | Lien | Chan | this | week | that | infuriated | Beijing | .

###

", B-LOC | O | O | O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | B-LOC | I-LOC | O | O | O | O | B-LOC | O | B-MISC | O | O | B-PER | I-PER | O | O | O | O | B-LOC | O***END***
31,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Speaking | only | hours | after | Chinese | state | media | said | the | time | was | right | to | engage | in | political | talks | with | Taiwan | , | Foreign | Ministry | spokesman | Shen | Guofang | told | Reuters | : | "" | The | necessary | atmosphere | for | the | opening | of | the | talks | has | been | disrupted | by | the | Taiwan | authorities | . | ""

###

", O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | B-ORG | I-ORG | O | B-PER | I-PER | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O***END***
32,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

State | media | quoted | China | 's | top | negotiator | with | Taipei | , | Tang | Shubei | , | as | telling | a | visiting | group | from | Taiwan | on | Wednesday | that | it | was | time | for | the | rivals | to | hold | political | talks | .

###

", O | O | O | B-LOC | O | O | O | O | B-LOC | O | B-PER | I-PER | O | O | O | O | O | O | O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
33,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

"" | Now | is | the | time | for | the | two | sides | to | engage | in | political | talks | ...

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
34,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

that | is | to | end | the | state | of | hostility | , | "" | Thursday | 's | overseas | edition | of | the | People | 's | Daily | quoted | Tang | as | saying | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | I-ORG | I-ORG | O | B-PER | O | O | O***END***
35,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | foreign | ministry | 's | Shen | told | Reuters | Television | in | an | interview | he | had | read | reports | of | Tang | 's | comments | but | gave | no | details | of | why | the | negotiator | had | considered | the | time | right | for | talks | with | Taiwan | , | which | Beijing | considers | a | renegade | province | .

###

", O | O | O | O | B-ORG | O | B-ORG | I-ORG | O | O | O | O | O | O | O | O | B-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | B-LOC | O | O | O | O | O***END***
36,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

China | , | which | has | long | opposed | all | Taipei | efforts | to | gain | greater | international | recognition | , | was | infuriated | by | a | visit | to | Ukraine | this | week | by | Taiwanese | Vice | President | Lien | .

###

", B-LOC | O | O | O | O | O | O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O | B-MISC | O | O | B-PER | O***END***
37,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

China | says | time | right | for | Taiwan | talks | .

###

", B-LOC | O | O | O | O | B-LOC | O | O***END***
38,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BEIJING | 1996-08-22

###

", B-LOC | O***END***
39,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

China | has | said | it | was | time | for | political | talks | with | Taiwan | and | that | the | rival | island | should | take | practical | steps | towards | that | goal | .

###

", B-LOC | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
40,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Consultations | should | be | held | to | set | the | time | and | format | of | the | talks | , | the | official | Xinhua | news | agency | quoted | Tang | Shubei | , | executive | vice | chairman | of | the | Association | for | Relations | Across | the | Taiwan | Straits | , | as | saying | late | on | Wednesday | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | O | O | O | B-PER | I-PER | O | O | O | O | O | O | B-ORG | I-ORG | I-ORG | I-ORG | I-ORG | I-ORG | I-ORG | O | O | O | O | O | O | O***END***
41,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

German | July | car | registrations | up | 14.2 | pct | yr | / | yr | .

###

", B-MISC | O | O | O | O | O | O | O | O | O | O***END***
42,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

FRANKFURT | 1996-08-22

###

", B-LOC | O***END***
43,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

German | first-time | registrations | of | motor | vehicles | jumped | 14.2 | percent | in | July | this | year | from | the | year-earlier | period | , | the | Federal | office | for | motor | vehicles | said | on | Thursday | .

###

", B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | I-ORG | I-ORG | I-ORG | I-ORG | O | O | O | O***END***
44,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | office | said | 356,725 | new | cars | were | registered | in | July | 1996 | -- | 304,850 | passenger | cars | and | 15,613 | trucks | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
45,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | figures | represent | a | 13.6 | percent | increase | for | passenger | cars | and | a | 2.2 | percent | decline | for | trucks | from | July | 1995 | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
46,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Motor-bike | registration | rose | 32.7 | percent | in | the | period | .

###

", O | O | O | O | O | O | O | O | O***END***
47,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | growth | was | partly | due | to | an | increased | number | of | Germans | buying | German | cars | abroad | , | while | manufacturers | said | that | domestic | demand | was | weak | , | the | federal | office | said | .

###

", O | O | O | O | O | O | O | O | O | O | B-MISC | O | B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
48,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Almost | all | German | car | manufacturers | posted | gains | in | registration | numbers | in | the | period | .

###

", O | O | B-MISC | O | O | O | O | O | O | O | O | O | O | O***END***
49,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Volkswagen | AG | won | 77,719 | registrations | , | slightly | more | than | a | quarter | of | the | total | .

###

", B-ORG | I-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
50,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Opel | AG | together | with | General | Motors | came | in | second | place | with | 49,269 | registrations | , | 16.4 | percent | of | the | overall | figure | .

###

", B-ORG | I-ORG | O | O | B-ORG | I-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
51,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Third | was | Ford | with | 35,563 | registrations | , | or | 11.7 | percent | .

###

", O | O | B-ORG | O | O | O | O | O | O | O | O***END***
52,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Only | Seat | and | Porsche | had | fewer | registrations | in | July | 1996 | compared | to | last | year | 's | July | .

###

", O | B-ORG | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
53,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Seat | posted | 3,420 | registrations | compared | with | 5522 | registrations | in | July | a | year | earlier | .

###

", B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
54,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Porsche | 's | registrations | fell | to | 554 | from | 643 | .

###

", B-ORG | O | O | O | O | O | O | O | O***END***
55,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

GREEK | SOCIALISTS | GIVE | GREEN | LIGHT | TO | PM | FOR | ELECTIONS | .

###

", B-MISC | O | O | O | O | O | O | O | O | O***END***
56,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

ATHENS | 1996-08-22

###

", B-LOC | O***END***
57,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | Greek | socialist | party | 's | executive | bureau | gave | the | green | light | to | Prime | Minister | Costas | Simitis | to | call | snap | elections | , | its | general | secretary | Costas | Skandalidis | told | reporters | .

###

", O | B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O***END***
58,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Prime | Minister | Costas | Simitis | is | going | to | make | an | official | announcement | after | a | cabinet | meeting | later | on | Thursday | , | said | Skandalidis | .

###

", O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O***END***
59,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

-- | Dimitris | Kontogiannis | , | Athens | Newsroom | +301 | 3311812-4

###

", O | B-PER | I-PER | O | B-ORG | I-ORG | O | O***END***
60,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BayerVB | sets | C$ | 100 | million | six-year | bond | .

###

", B-ORG | O | B-MISC | O | O | O | O | O***END***
61,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LONDON | 1996-08-22

###

", B-LOC | O***END***
62,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | following | bond | was | announced | by | lead | manager | Toronto | Dominion | .

###

", O | O | O | O | O | O | O | O | B-PER | I-PER | O***END***
63,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BORROWER | BAYERISCHE | VEREINSBANK

###

", O | B-ORG | I-ORG***END***
64,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

AMT | C$ | 100 | MLN | COUPON | 6.625 | MATURITY | 24.SEP.02

###

", O | B-MISC | O | O | O | O | O | O***END***
65,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

TYPE | STRAIGHT | ISS | PRICE | 100.92 | PAY | DATE | 24.SEP.96

###

", O | O | O | O | O | O | O | O***END***
66,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

FULL | FEES | 1.875 | REOFFER | 99.32 | SPREAD | +20 | BP

###

", O | O | O | O | O | O | O | O***END***
67,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MOODY | AA1 | LISTING | LUX | PAY | FREQ | =

###

", O | O | O | O | O | O | O***END***
68,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

S&P | = | DENOMS | ( | K | ) | 1-10-100 | SALE | LIMITS | US | / | UK | / | CA

###

", B-ORG | O | O | O | O | O | O | O | O | B-LOC | O | B-LOC | O | B-LOC***END***
69,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

NEG | PLG | NO | CRS | DEFLT | NO | FORCE | MAJ | =

###

", O | O | O | O | O | O | O | O | O***END***
70,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

GOV | LAW | GERMAN | HOME | CTRY | = | TAX | PROVS | STANDARD

###

", O | O | B-MISC | O | O | O | O | O | O***END***
71,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MGT | / | UND | 0.275 | SELL | CONC | 1.60 | PRAECIP | =

###

", O | O | O | O | O | O | O | O | O***END***
72,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

UNDERLYING | GOVT | BOND | 7.0 | PCT | SEPT | 2001

###

", O | O | O | O | O | O | O***END***
73,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

NOTES | BAYERISCHE | VEREINSBANK | IS | JOINT | LEAD | MANAGER

###

", O | B-ORG | I-ORG | O | O | O | O***END***
74,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

-- | London | Newsroom | +44 | 171 | 542 | 7658

###

", O | B-ORG | I-ORG | O | O | O | O***END***
75,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Venantius | sets | $ | 300 | million | January | 1999 | FRN | .

###

", B-ORG | O | O | O | O | O | O | O | O***END***
76,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LONDON | 1996-08-22

###

", B-LOC | O***END***
77,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | following | floating-rate | issue | was | announced | by | lead | manager | Lehman | Brothers | International | .

###

", O | O | O | O | O | O | O | O | O | B-ORG | I-ORG | I-ORG | O***END***
78,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BORROWER | VENANTIUS | AB | ( | SWEDISH | NATIONAL | MORTGAGE | AGENCY | )

###

", O | B-ORG | I-ORG | O | B-MISC | O | O | O | O***END***
79,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

AMT | $ | 300 | MLN | SPREAD | - | 12.5 | BP | MATURITY | 21.JAN.99

###

", O | O | O | O | O | O | O | O | O | O***END***
80,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

TYPE | FRN | BASE | 3M | LIBOR | PAY | DATE | S23.SEP.96

###

", O | O | O | B-ORG | O | O | O | O***END***
81,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LAST | MOODY | AA3 | ISS | PRICE | 99.956 | FULL | FEES | 10 | BP

###

", O | O | O | O | O | O | O | O | O | O***END***
82,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LAST | S&P | AA+ | REOFFER | =

###

", O | B-ORG | O | O | O***END***
83,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

NOTES | S | SHORT | FIRST | COUPON

###

", O | O | O | O | O***END***
84,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LISTING | LONDON | DENOMS | ( | K | ) | 1-10-100 | SALE | LIMITS | US | / | UK | / | JP | / | FR

###

", O | B-LOC | O | O | O | O | O | O | O | B-LOC | O | B-LOC | O | B-LOC | O | B-LOC***END***
