,prompt,completion
12,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Gas oil , assessed at $ 24.00 - $ 24.20 a barrel fob Gulf , was little changed on Thursday from last week 's $ 24.10 - $ 24.24 .

###

"," Gas: O
oil: O
,: O
assessed: O
at: O
$: O
24.00: O
-: O
$: O
24.20: O
a: O
barrel: O
fob: O
Gulf: Location
,: O
was: O
little: O
changed: O
on: O
Thursday: O
from: O
last: O
week: O
's: O
$: O
24.10: O
-: O
$: O
24.24: O
.: O

***END***"
13,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

He returned to Bonn on Thursday .

###

"," He: O
returned: O
to: O
Bonn: Location
on: O
Thursday: O
.: O

***END***"
14,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

8. Yoshikawa 38:35.297

###

"," 8.: O
Yoshikawa: Person
38:35.297: O

***END***"
15,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

NEW YORK 72 53 .576 -

###

"," NEW YORK: Organisation
72: O
53: O
.576: O
-: O

***END***"
16,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Jose Valentin hit his 21st homer for Milwaukee .

###

"," Jose Valentin: Person
hit: O
his: O
21st: O
homer: O
for: O
Milwaukee: Organisation
.: O

***END***"
17,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Neither Meri , who oversaw Estonia 's first steps into statehood after the collapse of the Soviet Union , nor his arch-rival , former communist Arnold Ruutel , have secured the 68 votes necessary from the 101-member parliament .

###

"," Neither: O
Meri: Person
,: O
who: O
oversaw: O
Estonia: Location
's: O
first: O
steps: O
into: O
statehood: O
after: O
the: O
collapse: O
of: O
the: O
Soviet Union: Location
,: O
nor: O
his: O
arch-rival: O
,: O
former: O
communist: O
Arnold Ruutel: Person
,: O
have: O
secured: O
the: O
68: O
votes: O
necessary: O
from: O
the: O
101-member: O
parliament: O
.: O

***END***"
18,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Australia foreign minister arrives in China .

###

"," Australia: Location
foreign: O
minister: O
arrives: O
in: O
China: Location
.: O

***END***"
19,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

MDS this year lost its president and vice-president , both of whom were tried and given jail sentences .

###

"," MDS: Organisation
this: O
year: O
lost: O
its: O
president: O
and: O
vice-president: O
,: O
both: O
of: O
whom: O
were: O
tried: O
and: O
given: O
jail: O
sentences: O
.: O

***END***"
20,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

TEXAS 75 58 .564 -

###

"," TEXAS: Organisation
75: O
58: O
.564: O
-: O

***END***"
21,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

- Turnover 756 vs 829

###

"," -: O
Turnover: O
756: O
vs: O
829: O

***END***"
22,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

NEC Nijmegen 1 ( Van Eykeren 15th ) PSV Eindhoven 4 ( Numan 11th ,

###

"," NEC Nijmegen: Organisation
1: O
(: O
Van: O
Eykeren: O
15th: O
): O
PSV Eindhoven: Organisation
4: O
(: O
Numan: O
11th: O
,: O

***END***"
23,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Paul Lawrie 72 75 72 , Miguel Angel Jimenez ( Spain ) 74 72

###

"," Paul Lawrie: Person
72: O
75: O
72: O
,: O
Miguel Angel Jimenez: Person
(: O
Spain: Location
): O
74: O
72: O

***END***"
24,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Score : England 326 ( J. Crawley 106 , G. Thorpe 54 .

###

"," Score: O
:: O
England: Location
326: O
(: O
J. Crawley: Person
106: O
,: O
G. Thorpe: Person
54: O
.: O

***END***"
25,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The fifth- seeded Majoli joined Anke Huber ( 5 ) and Magdalena Maleeva ( 12 ) on the sidelines .

###

"," The: O
fifth-: O
seeded: O
Majoli: Person
joined: O
Anke Huber: Person
(: O
5: O
): O
and: O
Magdalena Maleeva: Person
(: O
12: O
): O
on: O
the: O
sidelines: O
.: O

***END***"
26,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

While only a stunning upset will keep Graf from sailing through to a predictable semifinal showdown with third seed Arantxa Sanchez Vicario , the German star could also be tested in the third round where she will probably face 28th-ranked veteran Natasha Zvereva of Belarus .

###

"," While: O
only: O
a: O
stunning: O
upset: O
will: O
keep: O
Graf: Person
from: O
sailing: O
through: O
to: O
a: O
predictable: O
semifinal: O
showdown: O
with: O
third: O
seed: O
Arantxa Sanchez Vicario: Person
,: O
the: O
German: Misc
star: O
could: O
also: O
be: O
tested: O
in: O
the: O
third: O
round: O
where: O
she: O
will: O
probably: O
face: O
28th-ranked: O
veteran: O
Natasha Zvereva: Person
of: O
Belarus: Location
.: O

***END***"
27,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The club thought it ( the job ) had run its course and I came to the same conclusion . ""

###

"," The: O
club: O
thought: O
it: O
(: O
the: O
job: O
): O
had: O
run: O
its: O
course: O
and: O
I: O
came: O
to: O
the: O
same: O
conclusion: O
.: O
"": O

***END***"
28,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" Our moisture situation is excellent , especially for fall planting of winter wheat , "" said Kim Anderson , extension wheat marketing economist at Oklahoma State University .

###

"," "": O
Our: O
moisture: O
situation: O
is: O
excellent: O
,: O
especially: O
for: O
fall: O
planting: O
of: O
winter: O
wheat: O
,: O
"": O
said: O
Kim Anderson: Person
,: O
extension: O
wheat: O
marketing: O
economist: O
at: O
Oklahoma State University: Organisation
.: O

***END***"
29,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The election will now go before an electoral college involving MPs and local government representatives that will be convened by the parliamentary Speaker in the next day or so .

###

"," The: O
election: O
will: O
now: O
go: O
before: O
an: O
electoral: O
college: O
involving: O
MPs: O
and: O
local: O
government: O
representatives: O
that: O
will: O
be: O
convened: O
by: O
the: O
parliamentary: O
Speaker: O
in: O
the: O
next: O
day: O
or: O
so: O
.: O

***END***"
30,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

+5 Loren Roberts through 9

###

"," +5: O
Loren Roberts: Person
through: O
9: O

***END***"
31,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" The key to success at high-performance companies is engaging employees in a business partnership .

###

"," "": O
The: O
key: O
to: O
success: O
at: O
high-performance: O
companies: O
is: O
engaging: O
employees: O
in: O
a: O
business: O
partnership: O
.: O

***END***"
32,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Ghent 3 Aalst 2

###

"," Ghent: Organisation
3: O
Aalst: Organisation
2: O

***END***"
33,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

76 Scott McCarron

###

"," 76: O
Scott McCarron: Person

***END***"
34,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Aircraft noise and emissions Economic assessment of proposals for a common European Union position for CAEP 4 Consultancy services Call for tender ( 96 / C 251/09 )

###

"," Aircraft: O
noise: O
and: O
emissions: O
Economic: O
assessment: O
of: O
proposals: O
for: O
a: O
common: O
European Union: Organisation
position: O
for: O
CAEP: O
4: O
Consultancy: O
services: O
Call: O
for: O
tender: O
(: O
96: O
/: O
C: O
251/09: O
): O

***END***"
35,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

LONDON 1996-08-26

###

"," LONDON: Location
1996-08-26: O

***END***"
36,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Three year 10.5 pct 11.25

###

"," Three: O
year: O
10.5: O
pct: O
11.25: O

***END***"
37,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

After the British government admitted a possible link between mad cow disease and its fatal human equivalent , the EU imposed a worldwide ban on British beef exports .

###

"," After: O
the: O
British: Misc
government: O
admitted: O
a: O
possible: O
link: O
between: O
mad: O
cow: O
disease: O
and: O
its: O
fatal: O
human: O
equivalent: O
,: O
the: O
EU: Organisation
imposed: O
a: O
worldwide: O
ban: O
on: O
British: Misc
beef: O
exports: O
.: O

***END***"
38,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" People who wish to hold conferences of course do n't need to seek permission from the government in Britain , "" Rifkind , in Pakistan for a visit , told Reuters . ""

###

"," "": O
People: O
who: O
wish: O
to: O
hold: O
conferences: O
of: O
course: O
do: O
n't: O
need: O
to: O
seek: O
permission: O
from: O
the: O
government: O
in: O
Britain: Location
,: O
"": O
Rifkind: Person
,: O
in: O
Pakistan: Location
for: O
a: O
visit: O
,: O
told: O
Reuters: Organisation
.: O
"": O

***END***"
39,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

An Iranian embassy spokesman said in response to an inquiry that Iran had formally requested Banisadr 's extradition for hijacking the military aircraft which he commandeered to flee Iran in July 1981 .

###

"," An: O
Iranian: Misc
embassy: O
spokesman: O
said: O
in: O
response: O
to: O
an: O
inquiry: O
that: O
Iran: Location
had: O
formally: O
requested: O
Banisadr: Person
's: O
extradition: O
for: O
hijacking: O
the: O
military: O
aircraft: O
which: O
he: O
commandeered: O
to: O
flee: O
Iran: Location
in: O
July: O
1981: O
.: O

***END***"
40,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The unexpectedly weak figures convinced markets that Japanese interest rates would stay at rock-bottom levels -- weakening the yen .

###

"," The: O
unexpectedly: O
weak: O
figures: O
convinced: O
markets: O
that: O
Japanese: Misc
interest: O
rates: O
would: O
stay: O
at: O
rock-bottom: O
levels: O
--: O
weakening: O
the: O
yen: O
.: O

***END***"
41,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Sturm Graz 6 2 3 1 8 5 9

###

"," Sturm Graz: Organisation
6: O
2: O
3: O
1: O
8: O
5: O
9: O

***END***"
42,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

S. Korea Daewoo , Dacom units in Polish telecom JV .

###

"," S. Korea: Location
Daewoo: Organisation
,: O
Dacom: Organisation
units: O
in: O
Polish: Misc
telecom: O
JV: O
.: O

***END***"
43,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

3. Paul Koech ( Kenya ) 26:56.78

###

"," 3.: O
Paul Koech: Person
(: O
Kenya: Location
): O
26:56.78: O

***END***"
44,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Mother Teresa set up her first home for the dying in a Hindu rest house in Calcutta after she saw a penniless woman turned away by a city hospital .

###

"," Mother Teresa: Person
set: O
up: O
her: O
first: O
home: O
for: O
the: O
dying: O
in: O
a: O
Hindu: Misc
rest: O
house: O
in: O
Calcutta: Location
after: O
she: O
saw: O
a: O
penniless: O
woman: O
turned: O
away: O
by: O
a: O
city: O
hospital: O
.: O

***END***"
45,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" There will be tough matches but I hope I can get there , "" she said . ""

###

"," "": O
There: O
will: O
be: O
tough: O
matches: O
but: O
I: O
hope: O
I: O
can: O
get: O
there: O
,: O
"": O
she: O
said: O
.: O
"": O

***END***"
46,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

BASEBALL - SOSA HAS SURGERY , OUT UP TO SIX WEEKS .

###

"," BASEBALL: O
-: O
SOSA: Person
HAS: O
SURGERY: O
,: O
OUT: O
UP: O
TO: O
SIX: O
WEEKS: O
.: O

***END***"
47,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

There also are about 5,000 Thai inmates in Klongprem , a prison official said .

###

"," There: O
also: O
are: O
about: O
5,000: O
Thai: Misc
inmates: O
in: O
Klongprem: Location
,: O
a: O
prison: O
official: O
said: O
.: O

***END***"
48,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" If they ( the PUNR ) are so vexed , they could leave the government ...

###

"," "": O
If: O
they: O
(: O
the: O
PUNR: Organisation
): O
are: O
so: O
vexed: O
,: O
they: O
could: O
leave: O
the: O
government: O
...: O

***END***"
49,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

PRETORIA , South Africa 1996-08-24

###

"," PRETORIA: Location
,: O
South Africa: Location
1996-08-24: O

***END***"
50,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Dnipro 6 4 1 1 13 6 13

###

"," Dnipro: Organisation
6: O
4: O
1: O
1: O
13: O
6: O
13: O

***END***"
51,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

On the other hand we must prevent any return of war and massacres "" he said .

###

"," On: O
the: O
other: O
hand: O
we: O
must: O
prevent: O
any: O
return: O
of: O
war: O
and: O
massacres: O
"": O
he: O
said: O
.: O

***END***"
52,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

But the current share of barter deals in Russian exports is still high , "" she said .

###

"," But: O
the: O
current: O
share: O
of: O
barter: O
deals: O
in: O
Russian: Misc
exports: O
is: O
still: O
high: O
,: O
"": O
she: O
said: O
.: O

***END***"
53,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Its service is being introduced in selected markets across the United States .

###

"," Its: O
service: O
is: O
being: O
introduced: O
in: O
selected: O
markets: O
across: O
the: O
United States: Location
.: O

***END***"
54,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Played on Friday :

###

"," Played: O
on: O
Friday: O
:: O

***END***"
55,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The firm has signed an agreement with the Polish Development Bank ( PBR ) to manage the issue and plans them to be listed on the Warsaw bourse 's bond market .

###

"," The: O
firm: O
has: O
signed: O
an: O
agreement: O
with: O
the: O
Polish Development Bank: Organisation
(: O
PBR: Organisation
): O
to: O
manage: O
the: O
issue: O
and: O
plans: O
them: O
to: O
be: O
listed: O
on: O
the: O
Warsaw: Location
bourse: O
's: O
bond: O
market: O
.: O

***END***"
56,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

U.S. Spring / White Wheat - Bids mostly steady .

###

"," U.S.: Location
Spring: O
/: O
White: O
Wheat: O
-: O
Bids: O
mostly: O
steady: O
.: O

***END***"
57,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

SOCCER - FRENCH LEAGUE SUMMARIES .

###

"," SOCCER: O
-: O
FRENCH: Misc
LEAGUE: O
SUMMARIES: O
.: O

***END***"
58,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Hiddink did not name a replacement captain for Danny Blind , who announced his retirement from international soccer on Sunday .

###

"," Hiddink: Person
did: O
not: O
name: O
a: O
replacement: O
captain: O
for: O
Danny Blind: Person
,: O
who: O
announced: O
his: O
retirement: O
from: O
international: O
soccer: O
on: O
Sunday: O
.: O

***END***"
59,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The Salang tunnel , the main supply route for Soviet troops when they were occupying Afghanistan in the 1980s , had been closed since 1994 when northern militia leader General Abdul Rashid Dostum rebelled against the Kabul government .

###

"," The: O
Salang: Location
tunnel: O
,: O
the: O
main: O
supply: O
route: O
for: O
Soviet: Misc
troops: O
when: O
they: O
were: O
occupying: O
Afghanistan: Location
in: O
the: O
1980s: O
,: O
had: O
been: O
closed: O
since: O
1994: O
when: O
northern: O
militia: O
leader: O
General: O
Abdul Rashid Dostum: Person
rebelled: O
against: O
the: O
Kabul: Location
government: O
.: O

***END***"
60,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

But Yeltsin 's spokesman rebuffed the suggestion , saying the president had left Moscow for a holiday near the capital .

###

"," But: O
Yeltsin: Person
's: O
spokesman: O
rebuffed: O
the: O
suggestion: O
,: O
saying: O
the: O
president: O
had: O
left: O
Moscow: Location
for: O
a: O
holiday: O
near: O
the: O
capital: O
.: O

***END***"
61,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

EUROLIRA ( SEP ) 91.37 91.36 91.33

###

"," EUROLIRA: Organisation
(: O
SEP: O
): O
91.37: O
91.36: O
91.33: O

***END***"
62,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Results of Major League

###

"," Results: O
of: O
Major League: Misc

***END***"
63,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Thiel said on Wednesday that he had also asked Olympic 200 and 400 champion Michael Johnson to run as well as Christie .

###

"," Thiel: Person
said: O
on: O
Wednesday: O
that: O
he: O
had: O
also: O
asked: O
Olympic: Misc
200: O
and: O
400: O
champion: O
Michael Johnson: Person
to: O
run: O
as: O
well: O
as: O
Christie: Person
.: O

***END***"
64,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

RSR pure lead price ( effective date : March 20 , 1996 )

###

"," RSR: Organisation
pure: O
lead: O
price: O
(: O
effective: O
date: O
:: O
March: O
20: O
,: O
1996: O
): O

***END***"
65,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Leading prize money

###

"," Leading: O
prize: O
money: O

***END***"
66,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

26. Spain 8.09

###

"," 26.: O
Spain: Location
8.09: O

***END***"
67,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

ROME 1996-08-28

###

"," ROME: Location
1996-08-28: O

***END***"
68,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

-- Istanbul Newsroom , +90-212-275 0875 SA

###

"," --: O
Istanbul Newsroom: Organisation
,: O
+90-212-275: O
0875: O
SA: O

***END***"
69,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

2. Kostantin Matusevitch ( Israel ) 2.20

###

"," 2.: O
Kostantin Matusevitch: Person
(: O
Israel: Location
): O
2.20: O

***END***"
70,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" This is a war that has been declared on us and we want our people to come and see the site where they declared the war . ""

###

"," "": O
This: O
is: O
a: O
war: O
that: O
has: O
been: O
declared: O
on: O
us: O
and: O
we: O
want: O
our: O
people: O
to: O
come: O
and: O
see: O
the: O
site: O
where: O
they: O
declared: O
the: O
war: O
.: O
"": O

***END***"
71,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

"" With equal measures of ignorance and audacity this two-headed monster of Dole and Gingrich has been launching an all out assault on decades of progress of behalf of working men and women , "" Gore said to whoops of "" 12 more years . ""

###

"," "": O
With: O
equal: O
measures: O
of: O
ignorance: O
and: O
audacity: O
this: O
two-headed: O
monster: O
of: O
Dole: Person
and: O
Gingrich: Person
has: O
been: O
launching: O
an: O
all: O
out: O
assault: O
on: O
decades: O
of: O
progress: O
of: O
behalf: O
of: O
working: O
men: O
and: O
women: O
,: O
"": O
Gore: Person
said: O
to: O
whoops: O
of: O
"": O
12: O
more: O
years: O
.: O
"": O

***END***"
72,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Berlin prosecutors said on Wednesday they had filed charges against two German men for sexually abusing children in Thailand and distributing pornographic films and pictures of their degrading acts .

###

"," Berlin: Location
prosecutors: O
said: O
on: O
Wednesday: O
they: O
had: O
filed: O
charges: O
against: O
two: O
German: Misc
men: O
for: O
sexually: O
abusing: O
children: O
in: O
Thailand: Location
and: O
distributing: O
pornographic: O
films: O
and: O
pictures: O
of: O
their: O
degrading: O
acts: O
.: O

***END***"
73,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

BASKETBALL - OLYMPIAKOS BEAT DINAMO 69-60 .

###

"," BASKETBALL: O
-: O
OLYMPIAKOS: Organisation
BEAT: O
DINAMO: Organisation
69-60: O
.: O

***END***"
74,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Zinc : Special high grade SHG 5.50-6.00 cents / pound

###

"," Zinc: O
:: O
Special: O
high: O
grade: O
SHG: O
5.50-6.00: O
cents: O
/: O
pound: O

***END***"
75,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Lierse 4 Charleroi 0

###

"," Lierse: Organisation
4: O
Charleroi: Organisation
0: O

***END***"
76,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Vitesse Arnhem 1 Utrecht 0

###

"," Vitesse Arnhem: Organisation
1: O
Utrecht: Organisation
0: O

***END***"
77,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

SOCCER - ENGLISH LEAGUE STANDINGS .

###

"," SOCCER: O
-: O
ENGLISH: Misc
LEAGUE: O
STANDINGS: O
.: O

***END***"
78,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Penalties : Preston 2 .

###

"," Penalties: O
:: O
Preston: Person
2: O
.: O

***END***"
79,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Summary of Aug 22 research .

###

"," Summary: O
of: O
Aug: O
22: O
research: O
.: O

***END***"
80,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

played on Tuesday :

###

"," played: O
on: O
Tuesday: O
:: O

***END***"
81,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Results at the world track cycling championships on Friday :

###

"," Results: O
at: O
the: O
world: O
track: O
cycling: O
championships: O
on: O
Friday: O
:: O

***END***"
82,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Leading goalscorers in the French

###

"," Leading: O
goalscorers: O
in: O
the: O
French: Misc

***END***"
83,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Yorkshire 14 6 5 3 41 46 192

###

"," Yorkshire: Organisation
14: O
6: O
5: O
3: O
41: O
46: O
192: O

***END***"
84,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

RUGBY UNION - GRIQUALAND WEST AND NEW ZEALAND DRAW IN TOUR MATCH .

###

"," RUGBY UNION: Organisation
-: O
GRIQUALAND WEST: Location
AND: O
NEW ZEALAND: Location
DRAW: O
IN: O
TOUR: Misc
MATCH: O
.: O

***END***"
85,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .

###

"," The: O
Russians: Misc
,: O
who: O
said: O
they: O
overpowered: O
the: O
guards: O
--: O
two: O
armed: O
with: O
Kalashnikov: Misc
automatic: O
rifles: O
--: O
while: O
doing: O
regular: O
maintenance: O
work: O
on: O
their: O
Ilyushin 76: Misc
cargo: O
plane: O
last: O
Friday: O
,: O
left: O
the: O
UAE: Location
capital: O
Abu Dhabi: Location
for: O
home: O
on: O
Sunday: O
.: O

***END***"
86,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Her health began to deteriorate in 1989 when she was fitted with a heart pacemaker .

###

"," Her: O
health: O
began: O
to: O
deteriorate: O
in: O
1989: O
when: O
she: O
was: O
fitted: O
with: O
a: O
heart: O
pacemaker: O
.: O

***END***"
87,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

The rise has been very quick and very crazy . ""

###

"," The: O
rise: O
has: O
been: O
very: O
quick: O
and: O
very: O
crazy: O
.: O
"": O

***END***"
88,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Republic ) 7-5 6-3

###

"," Republic: Location
): O
7-5: O
6-3: O

***END***"
89,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

tournament .

###

"," tournament: O
.: O

***END***"
90,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

-- Cleveland Newsdesk 216-579-0077

###

"," --: O
Cleveland Newsdesk: Organisation
216-579-0077: O

***END***"
91,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Some were clocked doing 180 kilometres an hour ( 112 miles per hour ) , Belga said .

###

"," Some: O
were: O
clocked: O
doing: O
180: O
kilometres: O
an: O
hour: O
(: O
112: O
miles: O
per: O
hour: O
): O
,: O
Belga: Organisation
said: O
.: O

***END***"
92,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

MOSCOW 1996-08-28

###

"," MOSCOW: Location
1996-08-28: O

***END***"
93,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Qualifier vs. Michael Stich ( Germany )

###

"," Qualifier: O
vs.: O
Michael Stich: Person
(: O
Germany: Location
): O

***END***"
94,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Russian and rebel military commanders finally met in Chechnya on Tuesday for delayed talks aimed at finalising a ceasefire arranged last week by President Boris Yeltsin 's envoy Alexander Lebed .

###

"," Russian: Misc
and: O
rebel: O
military: O
commanders: O
finally: O
met: O
in: O
Chechnya: Location
on: O
Tuesday: O
for: O
delayed: O
talks: O
aimed: O
at: O
finalising: O
a: O
ceasefire: O
arranged: O
last: O
week: O
by: O
President: O
Boris Yeltsin: Person
's: O
envoy: O
Alexander Lebed: Person
.: O

***END***"
