completion,prompt
" The: None
court: Organization
decides: None
if: None
the: None
child: Person
can: None
be: None
taken: None
into: None
care: None
.: None

###","The court decides if the child can be taken into care .

###

"
" Eligibility: None
You: None
must: None
continue: None
to: None
meet: None
the: None
eligibility: Form
criteria: Form
of: None
your: None
original: None
visa: None
.: None

###","Eligibility You must continue to meet the eligibility criteria of your original visa .

###

"
" Find: None
a: None
job: Event
Search: Event
and: None
apply: None
for: None
jobs: None
in: None
Great: None
Britain: None
using: None
‘: None
Find: None
a: None
job: None
’: None
.: None

###","Find a job Search and apply for jobs in Great Britain using ‘ Find a job ’ .

###

"
" Multiple: None
payments: Finance
by: None
CHAPS: Finance
Send: None
an: None
online: None
CHAPS: Finance
enquiry: Form
form: Form
if: None
you: None
want: None
to: None
make: None
a: None
single: None
payment: Finance
to: None
cover: None
more: None
than: None
one: None
company: Organization
for: None
the: None
same: None
accounting: Event
period: Event
.: None

###","Multiple payments by CHAPS Send an online CHAPS enquiry form if you want to make a single payment to cover more than one company for the same accounting period .

###

"
" Business: Organization
contracts: None
Your: None
business: Organization
customers: Organization
have: None
implied: None
rights: None
unless: None
the: None
contract: Form
legally: None
states: None
otherwise: None
in: None
a: None
way: None
a: None
court: Organization
would: None
decide: None
is: None
reasonable: None
.: None

###","Business contracts Your business customers have implied rights unless the contract legally states otherwise in a way a court would decide is reasonable .

###

"
" If: None
you: None
’: None
re: None
an: None
EU: State
national: State
send: None
your: None
passport: Misc
or: None
national: Misc
identity: Misc
card: Misc
.: None

###","If you ’ re an EU national send your passport or national identity card .

###

"
" Going: None
abroad: None
for: None
more: None
than: None
4: Date
weeks: Date
but: None
less: None
than: None
a: None
year: None
Tell: None
your: None
local: None
Jobcentre: Organization
Plus: Organization
if: None
you: None
’: None
re: None
going: None
abroad: None
for: None
more: None
than: None
4: Date
weeks: Date
.: None

###","Going abroad for more than 4 weeks but less than a year Tell your local Jobcentre Plus if you ’ re going abroad for more than 4 weeks .

###

"
" You: None
’: None
ll: None
need: None
to: None
let: None
HMRC: Organization
know: None
within: None
a: None
month: None
if: None
your: None
partner: Person
and: None
child: Person
join: None
you: None
in: None
the: None
UK: None
.: None

###","You ’ ll need to let HMRC know within a month if your partner and child join you in the UK .

###

"
" Fees: None
There: None
is: None
no: None
charge: None
to: None
update: None
the: None
register: Form
of: Form
designs: Form
.: None

###","Fees There is no charge to update the register of designs .

###

"
" Read: None
the: None
Acas: None
guide: Contact
on: None
arbitration: None
for: None
more: None
information: None
.: None

###","Read the Acas guide on arbitration for more information .

###

"
" The: None
people: Person
who: None
can: None
sign: None
the: None
form: Form
are: None
the: None
same: None
as: None
those: None
who: None
can: None
‘: None
countersign: None
’: None
a: None
passport: Form
photo: None
.: None

###","The people who can sign the form are the same as those who can ‘ countersign ’ a passport photo .

###

"
" If: None
you: None
disagree: None
with: None
the: None
amount: None
you: None
’: None
re: None
being: None
asked: None
to: None
pay: None
you: None
may: None
need: None
to: None
go: None
to: None
court: Organization
to: None
explain: None
why: None
.: None

###","If you disagree with the amount you ’ re being asked to pay you may need to go to court to explain why .

###

"
" However: None
if: None
you: None
take: None
industrial: None
action: None
your: None
employer: Person
will: None
reduce: None
your: None
length: None
of: None
service: None
with: None
them: None
by: None
the: None
number: None
of: None
days: None
you: None
were: None
on: None
strike: Event
.: None

###","However if you take industrial action your employer will reduce your length of service with them by the number of days you were on strike .

###

"
" Set: None
up: None
another: None
debit: Finance
before: None
31: Date
July: Date
if: None
you: None
need: None
to: None
make: None
a: None
payment: None
on: None
account: None
.: None

###","Set up another debit before 31 July if you need to make a payment on account .

###

"
" Your: None
application: None
will: None
be: None
registered: None
and: None
you: None
’: None
ll: None
be: None
screened: None
-: None
ask: None
for: None
an: None
interpreter: Person
if: None
you: None
need: None
one: None
.: None

###","Your application will be registered and you ’ ll be screened - ask for an interpreter if you need one .

###

"
" If: None
they: None
are: None
in: None
approved: None
education: Organization
or: None
training: State
you: None
can: None
claim: None
until: None
their: None
20th: Date
birthday: Date
.: None

###","If they are in approved education or training you can claim until their 20th birthday .

###

"
" The: None
cap: None
will: None
not: None
affect: None
you: None
if: None
you: None
’: None
re: None
in: None
the: None
support: Organization
group: Organization
.: None

###","The cap will not affect you if you ’ re in the support group .

###

"
" Follow: None
these: None
steps: None
if: None
you: None
have: None
a: None
problem: None
with: None
your: None
council: Misc
housing: Misc
:: None
Complain: None
to: None
your: None
council: Organization
-: None
they: None
should: None
have: None
a: None
complaints: Contact
policy: Contact
that: None
you: None
can: None
follow: None
.: None

###","Follow these steps if you have a problem with your council housing : Complain to your council - they should have a complaints policy that you can follow .

###

"
" Email: Contact
the: None
following: None
addresses: None
if: None
you: None
need: None
specific: None
information: None
for: None
Scotland: Location
or: None
Northern: Location
Ireland: Location
.: None

###","Email the following addresses if you need specific information for Scotland or Northern Ireland .

###

"
" If: None
you: None
want: None
to: None
continue: None
you: None
must: None
pay: None
the: None
full: Finance
fee: Finance
within: None
14: Date
days: Date
of: None
getting: None
your: None
report: Contact
.: None

###","If you want to continue you must pay the full fee within 14 days of getting your report .

###

"
" Find: None
a: None
solicitor: Person
if: None
you: None
need: None
legal: Event
advice: Event
.: None

###","Find a solicitor if you need legal advice .

###

"
" Backdating: None
your: None
claim: Form
Attendance: Finance
Allowance: Finance
can: None
be: None
backdated: None
to: None
the: None
date: None
of: None
your: None
claim: Form
.: None

###","Backdating your claim Attendance Allowance can be backdated to the date of your claim .

###

"
" You: None
can: None
report: None
losses: Finance
on: None
a: None
chargeable: Finance
asset: Finance
to: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: Organization
): None
to: None
reduce: None
your: None
total: None
taxable: Finance
gains: Finance
.: None

###","You can report losses on a chargeable asset to HM Revenue and Customs ( HMRC ) to reduce your total taxable gains .

###

"
" Your: None
employee: Person
should: None
than: None
have: None
a: None
chance: None
to: None
appeal: Misc
your: None
decision: None
.: None

###","Your employee should than have a chance to appeal your decision .

###

"
" You: None
can: None
book: None
a: None
registrar: Person
yourself: None
or: None
the: None
venue: Location
may: None
do: None
this: None
for: None
you: None
.: None

###","You can book a registrar yourself or the venue may do this for you .

###

"
" Your: None
ex: Person
-: Person
partner: Person
will: None
not: None
be: None
at: None
the: None
same: None
meetings: Event
as: None
you: None
.: None

###","Your ex - partner will not be at the same meetings as you .

###

"
" You: None
may: None
be: None
able: None
to: None
make: None
a: None
new: None
claim: None
if: None
you: None
live: None
in: None
certain: None
countries: Location
outside: None
the: None
UK: Location
.: None

###","You may be able to make a new claim if you live in certain countries outside the UK .

###

"
" HM: None
Revenue: None
and: None
Customs: None
(: None
HMRC: Organization
): None
will: None
write: None
to: None
tell: None
you: None
the: None
correct: None
payslip: Form
reference: Form
.: None

###","HM Revenue and Customs ( HMRC ) will write to tell you the correct payslip reference .

###

"
" The: None
Home: Organization
Office: Organization
will: None
tell: None
you: None
immediately: None
after: None
you: None
apply: None
if: None
you: None
need: None
to: None
provide: None
any: None
documents: Contact
.: None

###","The Home Office will tell you immediately after you apply if you need to provide any documents .

###

"
" Get: None
legal: Contact
advice: Contact
from: None
a: None
solicitor: Person
in: None
the: None
country: Location
where: None
the: None
other: None
parent: Person
lives: None
.: None

###","Get legal advice from a solicitor in the country where the other parent lives .

###

"
" What: None
you: None
have: None
to: None
deduct: None
pay: None
and: None
report: Contact
to: None
HM: Organization
Revenue: Organization
&: Organization
Customs: Organization
(: None
HMRC: Organization
): None
depends: None
on: None
the: None
kind: None
of: None
bonus: None
you: None
give: None
your: None
employee: Person
.: None

###","What you have to deduct pay and report to HM Revenue & Customs ( HMRC ) depends on the kind of bonus you give your employee .

###

"
" You: None
can: None
upload: None
these: None
documents: None
when: None
you: None
appeal: None
online: None
or: None
post: None
them: None
to: None
the: None
Planning: Organization
Inspectorate: Organization
.: None

###","You can upload these documents when you appeal online or post them to the Planning Inspectorate .

###

"
" Find: None
out: None
the: None
correct: None
registration: Finance
fee: Finance
-: None
this: None
depends: None
on: None
the: None
value: None
of: None
your: None
property: None
.: None

###","Find out the correct registration fee - this depends on the value of your property .

###

"
" The: None
CAC: None
will: None
tell: None
you: None
within: None
10: None
days: None
if: None
the: None
notice: None
you: None
gave: None
the: None
union: Organization
was: None
valid: None
.: None

###","The CAC will tell you within 10 days if the notice you gave the union was valid .

###

"
" There: None
are: None
4: None
different: None
rates: None
of: None
Constant: Finance
Attendance: Finance
Allowance: Finance
.: None

###","There are 4 different rates of Constant Attendance Allowance .

###

"
" Loans: Finance
are: None
usually: None
paid: None
into: None
your: None
bank: Organization
or: None
building: Form
society: Form
account: Form
in: None
the: None
same: None
way: None
as: None
benefits: Finance
.: None

###","Loans are usually paid into your bank or building society account in the same way as benefits .

###

"
" The: None
fee: Finance
depends: None
on: None
what: None
you: None
’: None
re: None
asking: None
the: None
court: Organization
to: None
do: None
.: None

###","The fee depends on what you ’ re asking the court to do .

###

"
" Contact: None
the: None
relevant: None
rail: Organization
authority: Organization
-: None
ask: None
your: None
local: None
council: Organization
for: None
their: None
details: None
.: None

###","Contact the relevant rail authority - ask your local council for their details .

###

"
" There: None
’: None
s: None
a: None
free: None
onsite: None
car: Misc
park: Misc
.: None

###","There ’ s a free onsite car park .

###

"
" They: None
will: None
include: None
whether: None
they: None
think: None
the: None
child: Person
should: None
be: None
taken: State
into: State
care: State
or: None
stay: None
with: None
the: None
family: Person
.: None

###","They will include whether they think the child should be taken into care or stay with the family .

###

"
" How: None
the: None
ballot: Event
works: None
CAC: Organization
will: None
appoint: None
a: None
qualified: Person
independent: Person
person: Person
(: None
QIP: Person
): None
who: None
will: None
aim: None
to: None
conduct: None
the: None
ballot: Event
within: None
20: None
working: None
days: None
of: None
their: None
appointment: Event
.: None

###","How the ballot works CAC will appoint a qualified independent person ( QIP ) who will aim to conduct the ballot within 20 working days of their appointment .

###

"
" Reduce: None
the: None
amount: None
of: None
capital: Finance
allowances: Finance
you: None
can: None
claim: None
by: None
the: None
amount: None
you: None
use: None
the: None
asset: None
outside: None
your: None
business: None
.: None

###","Reduce the amount of capital allowances you can claim by the amount you use the asset outside your business .

###

"
" You: None
can: None
appoint: None
an: None
agent: Person
to: None
deal: None
with: None
HMRC: Organization
on: None
your: None
behalf: None
.: None

###","You can appoint an agent to deal with HMRC on your behalf .

###

"
" The: None
Home: Organization
Office: Organization
will: None
present: None
the: None
case: Misc
against: Misc
you: Misc
.: None

###","The Home Office will present the case against you .

###

"
" You: None
can: None
use: None
form: Form
R185: Form
(: None
trust: None
): None
to: None
do: None
this: None
.: None

###","You can use form R185 ( trust ) to do this .

###

"
" There: None
is: None
no: None
fixed: None
amount: None
for: None
the: None
Additional: None
State: Finance
Pension: Finance
.: None

###","There is no fixed amount for the Additional State Pension .

###

"
" Further: None
information: None
You: None
can: None
read: None
‘: None
Your: None
new: None
State: Finance
Pension: Finance
explained: None
’: None
for: None
more: None
detailed: None
information: None
about: None
the: None
changes: None
to: None
the: None
State: None
Pension: None
scheme: None
.: None

###","Further information You can read ‘ Your new State Pension explained ’ for more detailed information about the changes to the State Pension scheme .

###

"
" In: None
England: Location
for: None
unusually: None
large: None
or: None
complex: None
applications: None
the: None
time: None
limit: None
is: None
13: None
weeks: None
.: None

###","In England for unusually large or complex applications the time limit is 13 weeks .

###

"
" You: None
’: None
ll: None
need: None
to: None
complete: None
a: None
‘: Form
section: Form
4: Form
(: Form
2: Form
): Form
’: Form
medical: Form
declaration: Form
if: None
you: None
have: None
a: None
specific: None
medical: None
issue: None
.: None

###","You ’ ll need to complete a ‘ section 4 ( 2 ) ’ medical declaration if you have a specific medical issue .

###

"
" It: None
must: None
end: None
within: Date
56: Date
days: Date
of: None
the: None
birth: Event
.: None

###","It must end within 56 days of the birth .

###

"
" After: None
the: None
appeal: Event
meeting: Event
your: None
employer: Person
should: None
write: None
to: None
you: None
setting: None
out: None
their: None
final: None
decision: None
.: None

###","After the appeal meeting your employer should write to you setting out their final decision .

###

"
" How: None
to: None
apply: None
Download: None
and: None
fill: None
in: None
the: None
application: Form
form: Form
.: None

###","How to apply Download and fill in the application form .

###

"
" If: None
you: None
can: None
agree: None
on: None
making: None
payments: None
Once: None
the: None
Child: Organization
Maintenance: Organization
Service: Organization
has: None
worked: None
out: None
an: None
amount: None
you: None
can: None
make: None
the: None
payments: None
yourself: None
(: None
if: None
you: None
both: None
agree: None
): None
.: None

###","If you can agree on making payments Once the Child Maintenance Service has worked out an amount you can make the payments yourself ( if you both agree ) .

###

"
" The: None
Office: Organization
of: Organization
the: Organization
Public: Organization
Guardian: Organization
and: None
Court: Organization
of: Organization
Protection: Organization
can: None
check: None
your: None
decisions: None
.: None

###","The Office of the Public Guardian and Court of Protection can check your decisions .

###

"
" Fill: None
in: None
a: None
current: Date
year: Date
income: None
assessment: None
form: None
and: None
send: None
it: None
to: None
Student: Location
Finance: Location
England: Location
.: None

###","Fill in a current year income assessment form and send it to Student Finance England .

###

"
" You: None
won: None
’: None
t: None
usually: None
pay: None
any: None
tax: None
if: None
your: None
total: None
annual: None
income: None
adds: None
up: None
to: None
less: None
than: None
your: None
Personal: Finance
Allowance: Finance
.: None

###","You won ’ t usually pay any tax if your total annual income adds up to less than your Personal Allowance .

###

"
" Midwives: Person
and: None
doctors: Person
usually: None
issue: None
these: None
20: Date
weeks: Date
before: Date
the: None
due: None
date: None
.: None

###","Midwives and doctors usually issue these 20 weeks before the due date .

###

"
" They: None
can: None
also: None
charge: None
a: None
fee: Finance
to: None
publish: None
your: None
details: None
online: Contact
or: None
in: None
a: None
publication: Contact
.: None

###","They can also charge a fee to publish your details online or in a publication .

###

"
" Serve: None
a: None
statutory: Misc
demand: Misc
abroad: None
Get: None
legal: None
help: None
if: None
you: None
want: None
to: None
serve: None
a: None
statutory: Misc
demand: Misc
in: None
another: None
country: Location
.: None

###","Serve a statutory demand abroad Get legal help if you want to serve a statutory demand in another country .

###

"
" There: None
are: None
general: None
rules: None
and: None
examples: None
in: None
the: None
Mental: Misc
Capacity: Misc
Act: Misc
2005: Misc
Code: Misc
of: Misc
Practice: Misc
.: None

###","There are general rules and examples in the Mental Capacity Act 2005 Code of Practice .

###

"
" Overseas: Location
payments: Finance
If: None
you: None
’: None
re: None
paying: None
from: None
abroad: None
the: None
account: None
you: None
pay: None
into: None
depends: None
on: None
whether: None
you: None
’: None
re: None
using: None
a: None
UK: Location
or: None
non: Location
-: Location
UK: Location
account: None
.: None

###","Overseas payments If you ’ re paying from abroad the account you pay into depends on whether you ’ re using a UK or non - UK account .

###

"
" Contact: None
the: None
VAT: None
Error: None
Correction: None
Team: None
if: None
you: None
need: None
help: None
making: None
corrections: None
.: None

###","Contact the VAT Error Correction Team if you need help making corrections .

###

"
" Surrogates: None
Every: None
pregnant: None
employee: Person
has: None
the: None
right: None
to: None
52: Date
weeks: Date
’: None
maternity: Event
leave: Event
and: None
to: None
return: None
to: None
their: None
job: None
after: None
this: None
.: None

###","Surrogates Every pregnant employee has the right to 52 weeks ’ maternity leave and to return to their job after this .

###

"
" They: None
’: None
ll: None
also: None
send: None
your: None
neighbour: Person
a: None
copy: Contact
of: None
their: None
updated: None
title: None
plan: None
and: None
register: None
.: None

###","They ’ ll also send your neighbour a copy of their updated title plan and register .

###

"
" Take: None
money: None
from: None
a: None
paying: Finance
parent: Finance
’: Finance
s: Finance
earnings: Finance
or: Finance
benefits: Finance
The: None
paying: Organization
parent: Organization
’: Organization
s: Organization
employer: Organization
is: None
told: None
how: None
much: None
to: None
take: None
from: None
their: None
wages: Finance
.: None

###","Take money from a paying parent ’ s earnings or benefits The paying parent ’ s employer is told how much to take from their wages .

###

"
" You: None
must: None
make: None
sure: None
your: None
scheme: None
’: None
s: None
policies: None
are: None
clear: None
and: None
available: None
to: None
staff: Person
.: None

###","You must make sure your scheme ’ s policies are clear and available to staff .

###

"
" Find: None
an: None
accountant: Person
or: None
a: None
solicitor: Person
to: None
help: None
you: None
with: None
your: None
VAT: Finance
return: Finance
or: None
tax: None
.: None

###","Find an accountant or a solicitor to help you with your VAT return or tax .

###

"
" You: None
can: None
carry: None
on: None
getting: None
contribution: None
-: None
based: None
ESA: None
for: None
up: None
to: None
26: None
weeks: None
if: None
you: None
’: None
re: None
going: None
abroad: Location
for: None
medical: None
treatment: None
for: None
yourself: None
or: None
your: None
child: Person
.: None

###","You can carry on getting contribution - based ESA for up to 26 weeks if you ’ re going abroad for medical treatment for yourself or your child .

###

"
" You: None
do: None
not: None
need: None
an: None
EORI: None
number: None
if: None
you: None
’: None
ll: None
only: None
move: None
goods: None
between: None
Northern: Location
Ireland: Location
and: None
Ireland: Location
.: None

###","You do not need an EORI number if you ’ ll only move goods between Northern Ireland and Ireland .

###

"
" Your: None
employer: Person
should: None
not: None
take: None
any: None
disciplinary: Event
action: Event
before: None
meeting: Event
with: None
you: None
first: None
and: None
discussing: None
the: None
problem: None
.: None

###","Your employer should not take any disciplinary action before meeting with you first and discussing the problem .

###

"
" HMRC: Organization
will: None
authorise: None
your: None
request: None
and: None
send: None
back: None
a: None
form: None
-: None
this: None
is: None
your: None
PSA: Form
.: None

###","HMRC will authorise your request and send back a form - this is your PSA .

###

"
" Download: None
‘: None
Your: None
guide: None
to: None
Rent: None
Back: None
’: None
(: None
PDF: None
106KB: None
): None

###","Download ‘ Your guide to Rent Back ’ ( PDF 106KB )

###

"
